630;"Aeltgen-Dünwald-Str.";19665
631;"Keupstr.";19711
632;"Von-Sparr-Str.";19712
633;"Mülheim Berliner Str.";19713
634;"Dünnwalder Str.";19751
635;"Von-Lohe-Str.";19752
636;"Am Faulbach";19753
637;"Neuer Mülheimer Friedhof";19761
638;"Bruder-Klaus-Siedlung";19762
639;"Von-Galen-Str.";19763
640;"Moses-Hess-Str.";19850
641;"Stammheimer Ring";19851
642;"Bonhoefferstr.";19861
644;"Friedhof Stammheim";19872
645;"Egonstr.";19873
646;"Barbarastr.";15158
647;"Flittard Süd";19951
648;"Flittarder Feld";19952
649;"Am Feldrain";19970
650;"Edelhofstr.";19971
651;"Welserstr.";17254
652;"Nibelungenstr.";17764
653;"Ebertplatz/Riehler Str.";11808
654;"Wiedstr.";18360
656;"Sportplatzstr.";17765
657;"Frankfurter Str.";18401
658;"Marienplatz";17460
659;"Vitalisstr. Nord";14356
661;"Gunther-Plüschow-Str.";14460
662;"Eddaweg";19667
682;"Lehmbacher Weg Friedhof";18651
702;"Weiden West";13702
703;"Porz-Langel Süd";17669
713;"Haus Vorst";13913
719;"Schokoladenmuseum";11356
744;"Rheinauhafen";11357
745;"Luftfracht Köln/Bonn";17559
746;"Johannesstraße";16068
747;"Mozartstraße";16069
748;"Kapellenweg";16070
749;"Friedhof Worringen";16862
750;"Nippes S-Bahn";15001
751;"Ramrather Weg";16863
754;"Auf der Freiheit";12550
756;"Innere Kanalstr.";14059
757;"Zündorf Marktstr.";17661
758;"Zündorf Kirche";17662
759;"Zündorf Altersheim";17663
760;"Zündorf Mitte";17664
761;"Zündorf Olefsgasse";17665
762;"Zündorf Ranzeler Str.";17666
763;"Oberzündorf";17667
764;"Porz-Langel Nord";17668
765;"Porz-Langel Mühle";17851
766;"Porz-Langel Zur Eiche";17853
767;"Porz-Langel Kirche";17854
768;"Schadowstr.";14031
769;"Methweg";14034
770;"Schirmerstr.";14032
771;"Mechternstr.";14060
772;"Pettenkoferstr.";14033
773;"Mülhauser Str.";15261
774;"Escher See";16065
775;"Am Braunsacker";16066
777;"Reiherstr.";12666
778;"Stolberger Str.";13463
779;"Buchforst S-Bahn";19101
780;"Rodenkirchen Bismarckstr.";12755
781;"Gewerbegebiet Pesch-Nord";16067
783;"Bonntor";12253
784;"Beuelsweg Nord";15058
786;"Indianapolis-Straße";13850
787;"Am Schildchen";18631
788;"August-Horch-Str.";17255
789;"Trifelsstr.";15256
790;"Hansestr. West";17250
791;"Weiden Zentrum (EKC)";13780
792;"Cheruskerstr.";17256
793;"Im Wichemshof";16658
794;"Waldbad";19634
795;"Im Wirtskamp";19631
796;"Gebrüder-Coblenz-Str.";11946
797;"Totilastr.";11947
798;"Reischplatz";11948
799;"TÜV-Akademie";18364
800;"Mülheimer Ring";19321
801;"Imbacher Weg";19663
803;"Birkenweg Schleife";19650
804;"Zur Abtei";13847
805;"Talweg";17266
806;"Thermalbad";11952
807;"Zum neuen Kreuz";13848
808;"Rosmarinweg";13849
809;"Palmenhof";13846
810;"Arenzhof";16453
811;"Weilerweg";16250
812;"Arthur-Hantzsch-Str.";19991
813;"Stammheim S-Bahn";19801
815;"Osterather Str.";15250
816;"Trimbornstr.";18001
817;"Leopold-Gmelin-Str.";19973
818;"Nesselrodestr.";15414
819;"Sprengelstr.";15157
820;"Niehler Kirchweg";15450
